,Primary-Centric Time,deltaLat,deltaLon,Lat1,Lat2,Lon1,Lon2,X1,Y1,Z1,X2,Y2,Z2
42,2460366.447365765,-0.2561273765365968,0.40786529130109817,-10.846282612299749,-10.846353758793231,23.99797827676249,23.99809363345875,85.8529539426494,38.22056797638864,-18.005621587687614,85.85285656523381,38.220731735419385,-18.0057382818346
43,2460376.4473790783,0.48885001891605384,-0.2044149963920253,-10.827618107497177,-10.827482315825256,24.081653649987107,24.081595838820704,85.8003280797996,38.347375225777924,-17.97457417215963,85.80040566411034,38.34730603589802,-17.97435143869177
44,2460386.447392405,-0.39358277445487033,-0.13283043986170273,-10.811661965737379,-10.811771294285839,24.17615535572372,24.17611779158164,85.73945813564517,38.48995945090944,-17.947968440102912,85.73945212668569,38.489889212770095,-17.94814777234939
45,2460396.4474057457,0.06036747191728864,0.3792113301433778,-10.798688206438907,-10.798671437696708,24.278772699309982,24.278879934765285,85.67201883894231,38.64419500431482,-17.92625426650879,85.67195129430618,38.644357506240354,-17.926226760114133
46,2460406.4474191004,0.328868172943686,-0.3853986040637483,-10.788859502934798,-10.788768150664536,24.386666545373046,24.386557563810786,85.59982675171283,38.80578689873141,-17.909698779341667,85.5999265709435,38.80563587045934,-17.909548929500115
47,2460416.4474324686,-0.49133958220437535,0.1410359289738165,-10.782274580110117,-10.782411063327396,24.49685050474031,24.4968903854747,85.52484553724348,38.97024015370439,-17.898464055073205,85.52477961403503,38.970282004573924,-17.89868793493585
48,2460426.447445851,0.3518077698153377,0.19132605585050333,-10.778927751218651,-10.778830026838147,24.60639237740897,24.6064464780825,85.44906433217527,39.13316841187499,-17.89254072664921,85.44905512750806,39.13326180285679,-17.89238042677268
49,2460436.447459247,0.029637886423472537,-0.4054665850845099,-10.77873539675109,-10.778727164004861,24.712370495634172,24.712255843182735,85.37451956329599,39.290226238578676,-17.89179142308637,85.37460052073727,39.29005647349787,-17.891777919016565
50,2460446.447472657,-0.37566073893202656,0.35448787320082426,-10.781539718221,-10.781644068426258,24.81202457152459,24.81212480982762,85.30318797101042,39.43733323468468,-17.895956950347948,85.3030893911966,39.43746879399641,-17.896128108892345
51,2460456.447486081,0.4962237077499765,-0.07683047332860143,-10.787103874207245,-10.786966034288426,24.902800656556256,24.902778930851913,85.23695102784231,39.570739644525574,-17.90464835399175,85.23700510162459,39.57072546154424,-17.904422274132006
52,2460466.4474995197,-0.28393720571529,-0.25426819997805683,-10.795111095259573,-10.795189966705605,24.982350857845645,24.98227895534857,85.1775876978379,39.68702309353461,-17.91734552530724,85.17761514556163,39.686905784384514,-17.917474880653252
53,2460476.4475129717,-0.09590275373838608,0.4170308026980012,-10.805199082637335,-10.805225722291151,25.04868292098693,25.048800853796568,85.12665245473741,39.78330273751696,-17.93345368849058,85.12656301401712,39.783474424673095,-17.933497377080954
54,2460486.4475264377,0.4327288318457079,-0.3146715806619853,-10.816948665613765,-10.816828463160475,25.100076915043296,25.099987925077464,85.08552686267106,39.857112513077446,-17.95228486973965,85.08562287325836,39.85699633728302,-17.952087752185825
