number,designation, epoch, delta_AU, RA_hours, DEC_deg, dRA, dRA_err, dDEC, dDEC_err
182933,"2002 GZ31",2454486.43897,41.66423,15.306131,-17.27515,0.02193,0.00590,0.05759,0.00620
182933,"2002 GZ31",2454501.49314,41.40429,15.316361,-17.30859,-0.00577,0.00327,-0.04813,0.00250
182933,"2002 GZ31",2454944.91692,40.14861,15.376575,-17.52371,0.02541,0.00456,-0.06725,0.00462
225088,"2007 OR10",2455142.21736,85.26055,22.238706,-14.75049,0.01345,0.00374,-0.45157,0.00110
225088,"2007 OR10",2455458.16555,85.26055,22.275086,-14.41265,-0.21949,0.00341,0.12703,0.00574
225088,"2007 OR10",2458030.17745,87.06755,22.367222,-12.57906,-0.16538,0.00765,0.15347,0.01518
225088,"2007 OR10",2458037.85376,87.16141,22.363383,-12.59463,-0.25816,0.00728,-0.40461,0.00468
225088,"2007 OR10",2458044.74181,87.25623,22.360375,-12.60583,0.12990,0.00051,-0.36509,0.00206
225088,"2007 OR10",2458092.75301,88.07528,22.354169,-12.59605,-0.01446,0.00596,-0.44834,0.00117
229762,"2007 UK126",2454783.77689,44.65817,3.966228,-3.13818,-0.08708,0.00371,-0.12151,0.00280
229762,"2007 UK126",2455176.84129,44.33387,4.016531,-2.77714,-0.13552,0.00600,-0.00385,0.00600
229762,"2007 UK126",2455177.82789,44.33901,4.015369,-2.77711,-0.18020,0.00600,-0.06806,0.00600
229762,"2007 UK126",2458121.11732,41.67363,4.712408,0.92623,-0.13566,0.00354,-0.13399,0.00139
229762,"2007 UK126",2458121.96899,41.68046,4.711461,0.92894,-0.08324,0.00394,-0.13567,0.00100
229762,"2007 UK126",2458204.81689,42.79690,4.696311,1.58006,0.16284,0.00260,0.08656,0.00100
229762,"2007 UK126",2458208.78113,42.84963,4.699906,1.61920,-0.05961,0.06000,-0.00461,0.06000
229762,"2007 UK126",2458335.46057,42.73237,4.888342,2.09165,-0.16166,0.00100,-0.10611,0.00151
275809,"2001 QY297",2453844.21892,43.14809,21.201772,-16.85828,0.06581,0.00050,-0.05436,0.00050
275809,"2001 QY297",2454330.07681,41.98704,21.218192,-16.85070,-0.43140,0.00119,-0.00818,0.00100
275809,"2001 QY297",2454331.90163,41.99289,21.215861,-16.86117,-0.44073,0.00176,-0.01431,0.00107
275809,"2001 QY297",2454567.57734,43.47624,21.366164,-16.17247,-0.05513,0.00134,0.07862,0.00108
275809,"2001 QY297",2454587.38404,43.16039,21.379844,-16.11613,-0.30222,0.00100,0.03979,0.00100
275809,"2001 QY297",2454679.89348,42.05930,21.326117,-16.39344,0.16786,0.00168,-0.00815,0.00124
303712,"2005 PR21",2454231.02738,41.19128,22.728592,-8.09061,-0.12063,0.00579,-0.00398,0.00741
341520,"2007 TY430",2454387.86700,28.40955,1.062033,6.64281,-0.46000,0.06600,-0.50000,0.06600
341520,"2007 TY430",2454418.68700,28.57872,1.014614,6.30425,-0.64800,0.01800,-0.49300,0.01800
341520,"2007 TY430",2454423.68100,28.63051,1.008456,6.25894,-0.62100,0.02500,-0.50200,0.02500
341520,"2007 TY430",2454431.56100,28.72389,1.000033,6.19558,-0.58400,0.03500,-0.45600,0.03500
341520,"2007 TY430",2454434.52300,28.76237,0.997317,6.17458,-0.62100,0.03000,-0.47500,0.03000
341520,"2007 TY430",2454446.55800,28.93496,0.989075,6.10681,-0.63900,0.03700,-0.43100,0.03700
341520,"2007 TY430",2454456.53100,29.09330,0.985953,6.07397,-0.69400,0.03000,-0.47500,0.03000
341520,"2007 TY430",2454473.55400,29.38025,0.988878,6.06964,-0.71200,0.03100,-0.45600,0.03100
341520,"2007 TY430",2454730.07201,28.37515,1.272103,7.40882,0.24861,0.00100,0.39862,0.00141
341520,"2007 TY430",2454770.90100,28.35271,1.204797,6.93900,0.48200,0.01500,0.51000,0.01500
341520,"2007 TY430",2454799.69100,28.62302,1.167089,6.67297,0.60100,0.03600,0.56400,0.03600
341520,"2007 TY430",2454838.70800,29.23155,1.154883,6.55711,0.73700,0.02600,0.63700,0.02600
341520,"2007 TY430",2454863.75000,29.64855,1.175761,6.65983,0.79200,0.02200,0.61900,0.02200
341520,"2007 TY430",2455052.12500,28.81832,1.488047,8.22953,0.94600,0.02700,0.42800,0.02700
341520,"2007 TY430",2455068.12200,28.58313,1.478483,8.14031,0.92800,0.02000,0.41000,0.02400
