minor planet
and companion	type	semimajor axis (AU)	orbital period (yr)	eccentricity	diameter (km)	rotation period (hours)	semimajor axis (km)	orbital period (days)	diameter (km)	discovery
method	discovery date	announcement date
(66391) Moshup
(494658) 2000 UG11	NEA APO	1.928	2.678	0.573	0.26	4.44	0.426	0.767	0.13	R	3 Nov 2000	10 Nov 2000
(5899) Jedicke	MB	1.929	2.679	0.117	2.5	2.75?	[4.4?]	0.696	0.8	LC	2 Feb 2010	25 Feb 2010
(76818) Brianenke	MB	1.930	2.681	0.096	3.6	3.166	[6?]	0.5885	1.3	LC	Aug 2005	30 Aug 2005
2003 SS84	NEA APO	1.930	2.682	0.571	0.12	?	[0.3?]	1.0?	0.06	R	4 Oct 2003	10 Oct 2003
(6384) Kervin	MB	1.936	2.695	0.077	3.6	3.619	[6?]	0.6642	>1.1	LC	2015	Mar 2016
(7187) Isobe	MB	1.937	2.697	0.086	6.0	4.243	[19?]	1.3842	?	LC	26 Aug 2012	Jan 2013
(11217) 1999 JC4	MB	1.944	2.710	0.070	3.3?	4.822	[6?]	0.7988	?	LC	7 Jul 2013	Dec 2013
(4765) Wasserburg	MB	1.945	2.713	0.060	1.8	3.623	[3?]	0.6654	0.3	LC	23 Apr 2013	Sep 2013
(1139) Atami	MCA	1.948	2.718	0.256	6.0	27.45	>15	1.144	5.0	LC	31 Aug 2005	1 Sep 2005
(15822) Genefahnestock	MB	1.948	2.719	0.080	1.7	2.96	[3.3?]	0.8388	0.3	LC	22 Jun 2010	20 Dec 2010
2002 KK8	NEA AMO	1.953	2.730	0.466	0.5	?	?	?	0.10	R	8 Jun 2002	17 Jun 2002
(5426) Sharp	MB	1.955	2.734	0.117	2.0	4.561	[4.5?]	1.009	?	LC	29 Dec 2014	Jun 2015
(4868) Knushevia	MB	1.961	2.745	0.068	1.5	3.142	[2?]	0.4968	0.20	LC	18 Apr 2013	Jun 2015
(79472) Chiorny	MB	1.962	2.749	0.080	3.8?	2.880	[8?]	1.08	1.1?	LC	17 Mar 2012	Oct 2012
(27568) 2000 PT6	MB	1.964	2.751	0.028	1.8	3.488	[3.1?]	0.682	?	LC	11 Mar 2013	Jul 2013
(7088) Ishtar	NEA AMO	1.981	2.788	0.391	1.4?	2.679	[2.8?]	0.8604	0.6?	LC	4 Dec 2005	31 Jan 2006
(153591) 2001 SN263	NEA AMO	1.987	2.801	0.478	2.6	3.425	3.804
16.63	0.686
6.225	0.46
1.06	R
R	12 Feb 2008
12 Feb 2008	12 Feb 2008
12 Feb 2008
2015 TD144	NEA APO	1.988	2.803	0.758	0.1?	?	?	?	?	R	Oct 2015	Oct 2015
(12008) Kandrup	MCA	1.997	2.821	0.316	3.4?	32.903	[10?]	1.371	2.6?	LC	2 Dec 2016	22 Dec 2016
(31345) 1998 PG	NEA AMO	2.015	2.860	0.392	0.9	2.516	[1.4?]	0.583?	0.3	LC	29 Aug 1998	1998
(399774) 2005 NB7	NEA APO	2.044	2.923	0.517	0.5	3.488	>0.6	0.6367	0.2	R	11 Apr 2008	17 Apr 2008
(5402) Kejosmith	MB	2.046	2.927	0.137	4.1	2.695	12?	1.526?	>0.7	LC	4 Aug 2018	7 Oct 2018
(190208) 2006 AQ	NEA AMO	2.054	2.944	0.487	0.8?	182	?	?	?	LC	Jan 2015	23 Mar 2015
(190166) 2005 UP156	NEA AMO	2.116	3.077	0.470	1.05	40.572	?	?	?	LC	May 2017	Sep 2017
2018 TF3	NEA APO	2.136	3.122	0.714	0.3?	2.440	0.3?	0.4380	0.06?	LC	15 Oct 2018	26 Oct 2018
(5646) 1990 TR	NEA AMO	2.142	3.135	0.437	2.7	3.200	[5?]	0.8113	0.5?	LC	22 Nov 2012	Mar 2013
(6244) Okamoto	MB	2.159	3.173	0.153	6.7?	2.896	[13?]	0.8467	1.7?	LC	26 Sep 2006	19 Oct 2006
(6265) 1985 TW3	MB	2.166	3.188	0.193	4.8	2.709	[8?]	0.6608	1.2	LC	15 Jul 2007	2 Aug 2007
(6615) Plutarchos	MB	2.170	3.197	0.126	3.1	2.325	[10?]	1.668	?	LC	14 Apr 2007	Oct 2007
(24495) Degroff	MCA	2.171	3.199	0.361	3.5	?	?	?	?	LC	2017	Sep 2017
(5112) Kusaji	MB	2.175	3.207	0.130	3.3	2.800	[7?]	0.8642	1.0	LC	25 Oct 2016	10 Nov 2016
(44620) 1999 RS43	MB	2.176	3.211	0.164	0.66	3	2.0	?	0.2?	LC	2014	5 Aug 2015
(2121) Sevastopol	MB	2.183	3.226	0.179	8.6	2.906	[26?]	1.546	3.5	LC	23 Jul 2010	26 Aug 2010
(21436) Chaoyichi	MB	2.186	2.233	0.085	1.8?	2.87	?	?	0.6?	LC	2014	5 Aug 2015
(1830) Pogson	MB	2.189	3.238	0.056	7.9	2.570	[18?]	1.010	2.5	LC	18 Apr 2007	10 May 2007
(18303) 1980 PU	MB	2.191	3.244	0.206	4?	2.726	6?	0.5112	1.0?	LC	10 Aug 2019	9 Oct 2019
(32008) Adriangalad	MB	2.192	3.246	0.192	4.2?	3.017	[13?]	1.677?	1.7?	LC	5 Aug 2007	20 Sep 2007
(1717) Arlon	MB	2.196	3.254	0.129	9.1	5.148	[17?]	0.7598	?	LC	4 Dec 2005	17 Jan 2006
(3671) Dionysus
S/1997 (3671) 1	NEA APO	2.198	3.258	0.542	1.4	2.705	3.4	1.156	0.3	LC	30 May 1997	10 Jun 1997
(26420) 1999 XL103	MB	2.198	3.258	0.107	2?	3.2	?	0.996?	0.6?	LC		May 2019
(1798) Watts	MB	2.199	3.261	0.122	6.6	?	?	?	?	LC	2017	19 Mar 2017
(17260) Kusnirak	MB	2.205	3.273	0.183	4.6?	3.129	[7?]	0.6149	1.2?	LC	29 Jan 2006	14 Mar 2006
2007 DT103	NEA APO	2.206	3.276	0.576	0.3	2.703	0.45?	[0.6?]	>0.08	R	26 Jul 2007	3 Aug 2007
(2242) Balaton	MB	2.208	3.281	0.117	5.95	2.798	[9?]	0.540	>1.5	LC	27 Dec 2015	23 Jan 2016
(2178) Kazakhstania	MB	2.208	3.281	0.155	4.2	3.018	8?	0.7710	1.1	LC	18 Sep 2018	18 Oct 2019
(15700) 1987 QD	MCA	2.208	3.282	0.316	4.2?	3.059	?	?	?	LC	6 Sep 2010	6 Oct 2010
